data;preco_brl_arroba;preco_bezerro_brl;preco_soja_brl;preco_milho_brl;Boi com 20@/Garrote;Boi com 20@/soja;Boi com 20@/milho;milho(80)+soja(20)
01/01/2019;149.0;1199.39;79.35;39.26;2.4845963364710393;37.55513547574039;75.90422822210903;1492.6019999999999
01/02/2019;150.2;1222.06;77.31;39.61;2.458144444626287;38.856551545725004;75.83943448624085;1490.523
01/03/2019;150.05;1268.59;78.06;41.6;2.3656185213504757;38.44478606200359;72.13942307692308;1547.856
01/04/2019;157.45;1240.97;76.93;37.79;2.5375311248458865;40.93331600155986;83.32892299550146;1439.801
01/05/2019;153.0;1286.18;73.94;33.78;2.379138223265795;41.38490668109278;90.58614564831261;1315.99
01/06/2019;154.45;1286.92;81.86;37.77;2.4003046032387405;37.73515758612265;81.78448504103785;1466.875
01/07/2019;154.15;1243.23;80.61;38.28;2.479830763414654;38.24587520158789;80.53814002089864;1473.492
01/08/2019;152.15;1294.57;78.63;35.95;2.3505874537491214;38.70024163805164;84.64534075104311;1400.193
01/09/2019;155.7;1305.23;88.32;37.23;2.385786413122591;35.25815217391305;83.64222401289284;1488.6329999999998
01/10/2019;161.6;1363.85;88.14;39.08;2.369762070608938;36.66893578398003;82.7021494370522;1537.02
01/11/2019;169.55;1382.96;87.36;41.55;2.451987042286111;38.81639194139194;81.61251504211793;1598.6009999999999
01/12/2019;227.8;1577.91;89.57;47.71;2.887363664594305;50.86524505972982;95.49360721022846;1775.4489999999998
01/01/2020;192.95;1467.51;88.08;48.43;2.6296243296468167;43.81244323342416;79.68201527978526;1786.3289999999997
01/02/2020;196.2;1657.14;84.73;50.86;2.367935117129512;46.31181399740351;77.15296893432954;1832.45
01/03/2020;204.15;1742.81;90.3;53.55;2.342768287994675;45.21594684385382;76.24649859943978;1935.4649999999997
01/04/2020;203.0;1820.5;101.37;59.33;2.230156550398242;40.05129722797672;68.43081071970336;2151.783
01/05/2020;200.35;1822.7;105.66;48.83;2.198387008284413;37.923528298315354;82.0602088879787;1895.4569999999999
01/06/2020;204.0;1843.61;107.78;49.74;2.2130493976491774;37.85488958990536;82.02653799758745;1931.626
01/07/2020;219.9;2004.84;115.97;49.51;2.193691267133537;37.92360093127533;88.83053928499294;1971.3489999999997
01/08/2020;227.8;2071.82;120.14;51.29;2.1990327345039624;37.92242383885467;88.82823162409827;2042.2269999999999
01/09/2020;237.6;2116.68;137.22;60.92;2.245025228187539;34.630520332313075;78.00393959290874;2394.996
01/10/2020;256.8;2216.31;152.24;64.22;2.3173653505150456;33.73620599054125;79.97508564310183;2567.218
